Country,,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,"424,998.38","426,015.21","430,216.38","430,612.56","430,653.33","439,004.90","446,681.85","458,841.60","472,629.67","478,199.84","489,373.84","496,982.31","500,807.89","502,301.78","520,315.18","526,206.97","530,787.99","536,888.60","540,669.00","544,285.46","540,571.41","542,511.92","544,732.76","535,006.81","530,411.02","538,618.78","548,862.55","556,612.27","558,047.22"
Belgium,,,"78,492.61","82,157.14","75,524.00","75,771.05","76,016.83","79,382.99","82,605.50","82,175.96","81,511.96","79,931.08","80,261.99","84,151.51","85,906.92","91,545.24","91,139.81","92,427.27","90,022.83","87,337.77","86,747.76","80,163.13","84,612.84","82,286.89","79,528.79","79,971.98","76,346.01","78,509.78","79,467.29","82,023.36","78,950.34"
Canada,,,"146,410.76","149,137.37","148,737.28","147,741.14","152,361.11","154,495.96","158,184.69","149,720.79","154,897.83","148,647.76","149,704.63","148,114.45","148,157.11","148,419.33","149,273.60","146,251.99","143,391.88","139,789.97","139,699.34","127,051.68","134,315.86","123,782.51","120,922.50","120,949.31","115,215.77","119,418.39","118,172.44","118,005.11","118,455.74"
Chile,,,"603,221.87","594,872.98","612,470.51","615,048.51","636,374.33","653,057.98","674,575.22","686,114.63","693,059.08","707,363.77","730,681.59","719,697.17","723,948.36","740,245.81","741,584.48","729,747.17","720,516.11","742,313.66","722,567.97","680,493.57","690,530.62","702,412.98","710,108.30","720,877.45","721,353.75","720,380.18","706,196.41","713,838.21","729,349.27"
Colombia,,,"52,015.93","50,681.03","52,578.97","55,432.31","58,349.10","61,452.14","67,715.10","75,203.29","76,151.21","79,278.89","76,586.66","74,731.67","76,179.43","76,956.02","82,609.00","84,333.73","85,554.92","93,655.96","94,261.93","90,886.58","91,862.26","99,861.19","104,492.36","104,304.35","101,473.89","108,243.31","111,677.51",..,..
Costa Rica,,,"94,040.62","97,252.60","102,161.07","103,813.59","105,140.36","106,659.23","109,795.91","114,194.85","113,892.08","108,652.18","110,795.20","109,488.75","109,966.45","113,929.09","117,271.11","122,238.97","130,651.10","131,880.49","130,025.62","137,137.33","138,247.79","133,918.32","139,838.47","147,802.85","150,614.76",..,..,..,..
Czech Republic,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"10,878.07",..,..,..,..,"12,511.35",..,"13,257.36",..,..,..,..,..,..
Denmark,,,"197,202.55","178,986.52","172,533.93","164,898.96","157,406.67","156,526.03","159,559.05","154,994.17","148,844.49","139,281.76","149,457.61","149,497.29","145,776.80","148,967.36","150,048.22","147,905.91","149,080.89","150,918.18","146,084.37","137,219.22","139,900.21","138,359.07","134,202.23","128,984.26","126,856.68","128,303.75","130,134.22","129,059.00","127,449.60"
Estonia,,,"71,000.02","81,630.67","75,643.54","77,804.11","81,684.72","78,731.96","91,922.97","82,464.94","78,486.89","76,046.63","71,773.41","73,508.24","72,974.28","78,060.17","71,947.75","67,541.34","75,268.34","70,696.82","67,108.81","64,354.80","64,654.77","59,421.50","54,837.72","56,561.60","52,361.36","49,742.09","51,798.27","49,678.02","49,694.48"
Finland,,,"40,277.31","37,156.12","27,157.90","21,206.14","21,900.77","20,109.10","20,797.26","20,423.99","18,916.39","17,585.33","17,246.55","17,619.03","17,067.93","18,971.86","19,305.70","19,012.24","18,295.81","22,023.10","19,872.67","16,519.60","21,019.06","21,058.29","19,966.95","21,848.04","21,056.80","18,109.74","19,640.42","20,923.49","19,974.14"
France,,,"71,065.26","68,854.17","67,416.61","69,684.06","75,215.37","71,656.56","77,633.33","76,321.12","72,626.36","72,016.77","70,145.35","75,475.58","77,909.24","85,532.07","81,839.01","69,837.08","81,207.90","79,544.79","71,452.38","67,834.70","75,649.75","67,899.41","62,419.24","62,856.36","58,700.07","55,086.25","58,039.64","55,336.72","56,359.07"
Germany,,,"551,404.78","578,699.48","566,925.42","544,411.47","538,971.27","546,666.86","564,234.85","557,026.92","570,706.96","562,824.24","556,689.81","561,632.97","555,016.02","559,892.55","558,006.76","559,561.38","547,350.92","536,920.91","529,131.49","510,222.31","516,993.59","488,626.08","489,044.21","490,340.67","460,180.56","464,049.06","465,667.52","470,593.20","452,209.68"
Greece,,,"1,249,458.56","1,202,408.48","1,152,233.12","1,143,321.09","1,124,269.24","1,121,370.24","1,139,309.80","1,104,200.14","1,078,910.26","1,045,140.62","1,043,426.39","1,058,627.88","1,037,293.21","1,034,945.73","1,018,676.23","993,198.75","1,000,519.90","973,838.74","976,672.15","909,260.14","942,338.00","919,434.65","924,147.41","941,570.26","902,388.74","906,320.05","909,052.47","894,296.28","858,368.68"
Hungary,,,"103,308.91","103,363.80","104,609.04","104,210.52","106,996.17","109,332.94","112,478.84","117,379.08","122,976.55","123,133.87","126,492.93","127,546.73","127,561.99","131,300.83","131,982.90","136,446.50","132,540.10","135,170.74","131,846.08","124,640.14","118,522.25","115,593.36","112,326.85","102,705.10","99,276.89","95,482.14","91,839.59","95,585.97","92,221.66"
Iceland,,,"93,950.88","87,286.60","77,236.19","78,119.02","76,973.34","75,352.36","77,569.03","76,028.73","75,560.09","76,110.42","73,234.56","75,218.53","73,535.07","76,488.13","75,630.98","75,386.68","74,139.16","72,456.79","70,519.94","64,481.61","64,856.76","63,239.46","59,569.73","56,763.15","57,391.17","60,797.35","61,257.34","63,781.35","63,219.56"
Ireland,,,"3,732.87","3,516.77","3,428.21","3,516.12","3,434.54","3,551.04","3,609.56","3,776.82","3,922.02","4,147.97","4,171.05","4,061.52","4,153.12","4,112.70","4,211.34","4,059.46","4,648.29","4,947.06","5,342.91","5,005.60","4,928.92","4,680.96","4,683.54","4,688.54","4,722.10","4,799.81","4,754.60","4,835.51","4,856.95"
Israel,,,"55,468.30","56,146.92","56,013.36","56,416.31","57,760.82","59,164.25","61,234.15","62,565.16","65,031.49","66,174.54","68,314.28","70,221.22","68,244.22","68,550.02","67,990.21","69,702.11","68,825.59","68,042.03","67,490.64","61,736.43","61,277.54","57,156.86","57,752.70","57,589.74","57,325.32","59,415.93","61,491.44","61,004.88","60,934.54"
Italy,,,..,..,..,..,..,..,"57,653.00",..,..,..,"67,163.00",..,..,"71,447.59","71,882.62","72,400.33","73,781.33","76,930.18","78,435.20","74,568.17","77,235.62","79,187.52","85,028.10","79,568.92","76,957.36","80,600.54","79,935.04",..,..
Japan,,,"516,051.74","517,107.00","516,117.31","509,104.90","503,368.55","529,435.48","523,538.23","531,260.38","543,481.19","548,740.28","552,474.43","554,029.53","560,213.53","579,418.02","585,375.66","586,529.47","576,602.67","569,689.77","557,101.81","502,603.76","513,756.38","501,288.05","482,361.63","447,072.72","426,491.71","439,431.75","436,088.45","431,324.46","427,529.02"
Korea,,,"1,270,039.97","1,284,001.18","1,296,664.52","1,289,105.60","1,353,440.83","1,374,505.10","1,386,969.52","1,379,301.65","1,330,779.96","1,354,370.00","1,374,774.03","1,349,333.28","1,373,167.46","1,379,116.92","1,371,688.86","1,378,770.81","1,357,162.21","1,393,190.47","1,321,204.29","1,248,422.29","1,302,549.97","1,353,603.93","1,396,323.77","1,407,809.07","1,358,344.55","1,319,800.19","1,302,842.08","1,289,239.53","1,238,342.71"
Latvia,,,"292,939.00","316,235.00","343,147.00","378,762.00","403,832.00","437,295.00","471,119.00","500,821.00","430,226.00","468,287.00","501,430.00","514,637.00","536,010.00","546,328.00","555,171.00","559,146.00","564,456.00","579,527.00","592,709.00","597,564.00","657,428.00","682,945.00","687,126.00","696,749.00","690,944.00","692,924.00","694,066.00",..,..
Lithuania,,,"26,288.57","24,408.85","19,652.62","16,239.32","14,312.39","12,939.94","12,978.33","12,418.47","11,917.00","11,132.15","10,510.98","11,087.90","11,059.95","11,245.12","11,220.30","11,401.24","11,887.89","12,340.27","11,869.85","11,188.03","12,261.65","11,475.00","11,296.59","11,225.74","11,128.46","11,179.08","11,170.15","11,216.83","11,715.67"
Luxembourg,,,"48,016.43","50,014.70","30,804.47","24,733.05","23,313.27","22,332.61","23,384.19","22,935.82","23,918.89","21,059.86","19,523.18","20,317.59","20,680.25","20,844.98","21,702.41","22,801.83","23,095.70","25,282.98","24,376.28","20,068.47","20,887.60","21,462.69","21,396.48","20,167.64","20,110.69","20,400.43","20,420.35","20,617.61","20,266.83"
